epoch,loss
1,0.20813492534502379
2,0.054643087425210145
3,0.04909179358397941
4,0.04997687612786285
5,0.05143135973278418
6,0.049228447563371816
7,0.048633874007322525
8,0.04683936360493719
9,0.04447526502173536
10,0.04206172133908144
11,0.04119563327388447
12,0.04055707761725312
13,0.04048176893569755
14,0.04179906171093935
15,0.04373445002301498
16,0.04574833850326843
17,0.04608426211153964
18,0.043300724655883374
19,0.038794792971564726
20,0.03202964417393857
21,0.02592748849477719
22,0.023687740212369142
23,0.025155939012850986
24,0.025644192588050185
25,0.02515619557493418
26,0.02469684569104476
27,0.023953459625037175
28,0.023260699552103564
29,0.022712941036300616
30,0.022153767737438174
31,0.021431862525024936
32,0.020897468555184654
33,0.020367082529650762
34,0.019860176172752098
35,0.019379980287709826
36,0.01886162102256483
37,0.018548652963730896
38,0.01812337620608266
39,0.017744500047475662
40,0.01735091999147634
41,0.01710780728278604
42,0.01677675100138091
43,0.016603809979763934
44,0.016247413146162223
45,0.016084002910648872
46,0.015777795638852905
47,0.015615061580760353
48,0.015432735840161823
49,0.015291403083376447
50,0.015123145536720105
51,0.014925323201206191
52,0.01483457368282098
53,0.014689936323345627
54,0.01464307532863301
55,0.014567121616572669
56,0.014484989241420849
57,0.014549755593969236
58,0.014417549155903571
59,0.014316228578459666
60,0.014360300919997359
